0art0__kimina	A Lean tactic that invokes the Kimina Prover Preview model to offer proof suggestions.
0art0__lean-slides	A tool to auto-generate and render slides from Markdown comments in the Lean editor.
1000-plus__1000-plus.github.io	Which named theorems already have a formalization, in which system, and where
1a776__IMO-	IMO题目的形式化2个题
2540825244__m2r-group-7	Classifying Groups of Order up to 31 in Lean 4 - Imperial Maths Year 2 Research Project Group 7 - 2026
a2435191__lean-logic-formalization	Formalize "Logic Notes" by Lou van den Dries in Lean
abdoo8080__lean-cvc5	A Foreign Function Interface (FFI) to cvc5 solver in Lean.
AbsInt__CompCert	Formal definitions of C and assembly semantics, memory models and compiler passes, plus the correctness proofs of CompCert
acl2__acl2	ACL2 Community Books: arithmetic, algebra, data structures, formal models of hardware and software, verified algorithms, and reusable definitions
acmepjz__lean-iwasawa	Iwasawa theory
acmepjz__md4lean	a Lean wrapper for the MD4C Markdown parser
adambornemann-glitch__Logos_Library	Lean verified Science.
adomani__advents	Advent of Code
adomani__MA4N1_Theorem_proving_with_Lean	MA4N1 Theorem Proving with Lean
AdrienChampion__loadTerms.lean	Testing dynamic term loading in Lean 4.
AdrienChampion__safeIdx	Type-safe indexing library.
AeneasVerif__icfp-tutorial	Aeneas tutorial for ICFP
AfonsoBitoque__LeanServer	Verified HTTPS server in Lean 4 — TLS 1.3, HTTP/2, QUIC, WebSocket, gRPC — 914 machine-checked theorems, zero sorry. Pure library available (LeanServerPure).
agda__agda-categories	Category theory in Agda: limits, adjunctions, monoidal/enriched and higher categorical structures, fibrations and topoi
agda__agda-stdlib	Agda standard library: algebraic structures, orders, relations, finite structures, and data types
agda__cubical	Cubical type theory, homotopy type theory, and related mathematics in Agda
agenticsnz__unsorry	Autonomous agents proving theorems; git is the queue
ahhwuhu__zeta_3_irrational	Irrationality of ζ(3)
Alektronnik__Quantum4Lean	Verified quantum computing in Lean 4 with FFI bridge to Apple Silicon (Metal 3). Full NISQ stack, dependent types, formal circuit verification, and mathematical translators to Hamiltonians for autonomous AI.
alerad__leancert	Verified interval arithmetic: bounds on exp, sin, cos; root finding
AlexeyMilovanov__kolmogorov-complexity-lean	Formalization of Algorithmic Information Theory  in Lean 4
alexf91__lean4-ctypes	FFI for Lean 4
alexjbest__leaff	Leaff is a diff tool for Lean environments
alexjgreig__QHL-Lean	Quantum Hoare Logic Lean 4 - A quantum program verification tool
alexkeizer__QPFTypes	Quotients of polynomial functors; definitional (co)datatypes
AlexKontorovich__CoveringSpacesProject	Covering spaces and universal covers; overlaps the Tau Ceti universal-covers roadmap
AlexKontorovich__PrimeNumberTheoremAnd	Prime Number Theorem and related analytic number theory
AlexKontorovich__RealAnalysisGame	RealAnalysisGame
algebraic-dev__colorized	🌈 | A Lean 4 library designed to enhance terminal output with vibrant ANSI escape sequences.
algebraic-dev__http	🌐 | HTTP primitives for Lean 4
algebraic-dev__parse	🧩 | Parser generation for Lean 4.
alok__AsciiPlot	ASCII/Unicode plotting library for Lean 4 with legends and braille rendering
alok__ConvolutedProofs	Absurdly sophisticated proofs of simple mathematical facts in Lean 4
alok__HexLuthor	Lean 4 hex color syntax with inline VS Code color preview
alok__lean-autograd	Automatic differentiation in Lean following JAX's autodidax tutorial
alok__lean-inf	Levi-Civita field for infinitesimal computation
alok__LeanDidax2	Pedagogical autodiff library in Lean 4 with forward/reverse modes and vectorization
alok__LeanPlot	Interactive React-powered charting library for Lean 4 in VS Code's infoview
alok__Leantix	Lean 4 port of the Golitex typesetting system for LaTeX-like document processing
alok__MusicNotation	Pure functional music notation system in Lean 4 with Unicode visualization
alok__TetraGray	General-relativistic raytracer in Lean 4 with geometric algebra for black hole visualization
amarmaduke__lean-stlc	Lean4 mechanization of the simply typed lambda calculus and its metatheory including strong normalization
amarmaduke__lean-subst	Lean4 library for substitution inspired by autosubst
amellendijk__selberg-sieve4	The Selberg sieve
ammkrn__lean-url	URL library for lean4 based on the whatwg url standard
ammkrn__printiest	A pretty printer for Lean 4
ammkrn__timelib	A date and time library for Lean 4
AmosNico__validator	Formally Verified Validator for Unsolvability Certificates for Automated Planning in Lean 4
Anderssorby__SDL.lean	SDL2 bindings for lean
andrejbauer__lean2sexp	Convert Lean .olean files to s-expressions
andrejbauer__partial-combinatory-algebras	A Lean 4 formalization of partial combinatory algebras.
AnirudhG07__LeanHuffmanCoding	Lean for Huffmann Coding Algorithms, as a course Project for Proof and Programs 25.
anlucia__ChromaticPolynomial	Chromatic polynomial in Lean4
anoma__goose-lean	GOOSE in Lean4
anoma__juvix-lean	Juvix Lean library for compiler run verification
ANR-FALSE__PadicModForms	p-adic modular forms
Antoine-dSG__frieze_patterns	Coxeter's frieze patterns
AntoineChambert-Loir__DividedPowers4	Divided power structures and the divided-power algebra
anurudhp__aoc2022	Advent of Code 2022 solutions: Lean4
apnelson1__Matroid	Matroid theory over Mathlib
arademaker__bignum	port of s2n-bignum to Lean
arademaker__delphin	The Lean port of PyDelphin, a library to integrate DELPH-IN toolsets
arademaker__fad	Functional Algorithms Design
arademaker__vizagrams	A visualization library for Lean
argumentcomputer__Blake3.lean	Lean4 bindings to Blake3
argumentcomputer__FFaCiL.lean	Finite Fields and Curves in Lean
argumentcomputer__Http.lean	Basic Http functionality in Lean (unfinished)
argumentcomputer__Ipld.lean	a Lean4 implementation of the IPLD format
argumentcomputer__ix	a zero-knowledge proof-carrying code platform for Lean 4
argumentcomputer__LSpec	A Testing Framework for Lean
argumentcomputer__Lurk.lean	A Lean 4 implementation of the Lurk Language for recursive zkSNARKS
argumentcomputer__Megaparsec.lean	Lean 4 port of Megaparsec
argumentcomputer__OpenSSL.lean	OpenSSL bindings for Lean
argumentcomputer__Poseidon.lean	A Lean 4 implementation of the Poseidon zkSNARK-friendly hash function
argumentcomputer__RustFFI.lean	Template for Lean<->Rust FFI
argumentcomputer__straume	State-of-the-art streams for Lean 4
argumentcomputer__Wasm.lean	A WebAssembly implementation in Lean4
argumentcomputer__yatima	A zero-knowledge Lean4 compiler and kernel
argumentcomputer__ZKSnark.lean	https://yatima-inc.github.io/ZKSnark.lean/
arthur-adjedj__Leanduction	Generate good induction principles on nested inductive types
arthurpaulino__LeanMySQL	A MySQL API for Lean 4
arthurpaulino__NumLean	A Lean 4 package for heavy numerical computations
arthurpaulino__viper	A Python environment manager built in Lean 4
artie2000__real_closed_field	Formalisation of the theory of real closed fields in Lean 4.
astrainfinita__Algorithm	Verified efficient algorithms
ATOMSLab__LeanDimensionalAnalysis	Formally-verified dimensional analysis in Lean
ATOMSLab__LeanLJ	Lennard Jones in Lean
auto-res__lean-rademacher	Lean Formalization of Generalization Error Bound by Rademacher Complexity
avigad__lamr	Logic and Mechanized Reasoning textbook and code
avigad__LeanSudoku	Playing Sudoku in the Lean 4 proof assistant
avigad__verification_demo	A temporary repository
awodey__joyal	Joyal's representation theorem
AxiomMath__AgreeToDisagree	Lean formalizations of the paper "We Can't Agree to Disagree, Formally: Aumann's Theorem and Assumption Accounting in Lean"
AxiomMath__fel-polynomial	Fel's conjecture on syzygies of numerical semigroups
AxiomMath__lattice-triangle	Lean formalizations for the paper "On the paucity of lattice triangles"
AxiomMath__partial-regularity	Lean formalizations for the paper "Almost all primes are partially regular"
AxiomMath__PartitionPolynomial	Lean formalizations for the paper "Reciprocals of Partition Polynomials"
AxiomMath__Putnam2025	Our solutions to Putnam 2025.
b-mehta__ABC-Exceptions	Exceptions to the ABC conjecture
b-mehta__AharoniKorman	Disproof of the Aharoni–Korman conjecture
b-mehta__formalising-mathematics-notes	Course notes for Formalising Mathematics 2026
b-mehta__PrimeCert	Formal prime certificates
Bacon-labs__tamago	Common EVM smart contracts similar to solady/solmate, formally verified using Tama + Verity
Beneficial-AI-Foundation__curve25519-dalek-lean-verify	Verifying curve25519-dalek using Lean
Beneficial-AI-Foundation__FloatSpec	Formally Verified Float Implementation with lean4
Beneficial-AI-Foundation__NumpySpec	numpy -> lean 4 through ai
Beneficial-AI-Foundation__vericoding	tools and benchmarks for verified coding
bergmannjg__leanCurl	Lean 4 bindings to libcurl
bergmannjg__regex	A PCRE2 compatible regular expression engine written in Lean 4.
bergmannjg__time	Port of the haskell time library to Lean 4 and verification of date calculations
bjoernkjoshanssen__interest	Interest: a Lean library for financial mathematics
bjoernkjoshanssen__math654	Homework and lecture notes from Math 654, Fall 2022
BochaoKong__nullstellensatz	Local complex-analytic geometry: Rückert Nullstellensatz and foundations
BoltonBailey__formal-snarks-project	A formal verification of Linear PCP SNARKs.
brettkoonce__lean4-mlir	Lean specification of neural architectures with verified GPU codegen.
bridgekat__filter-game	Lean 4 version of the filter game.
BRonen__sqlite-lean	Sqlite3 bindings for lean4
CAIMEOX__json-schema-lean	Json Schema lean implementation
CakeML__cakeml	HOL4 definitions of CakeML syntax and semantics, compiler/intermediate languages, type systems and the verified compiler proofs
CakeML__candle	Formal definitions and proofs for Candle, a verified implementation of HOL Light developed within CakeML
CakeML__game-of-life	HOL4 formalization of Conway's Game of Life and verified compilation into Life circuits, including executable semantics and circuit definitions
cameronfreer__exchangeability	Exchangeability and three proofs of de Finetti's theorem
carlok__leanfrontier	Machine-generated, kernel-verified mathematics
cavargar__SHSLib	Stochastic Hybrid Systems core definitions formalized in Lean
CBirkbeck__AINTLIB	Atlas of formalized number theory
CBirkbeck__DirichletNonvanishing	Nonvanishing of Dirichlet L-functions
CBirkbeck__LeanBridge	Links LMFDB objects to Lean declarations
CBirkbeck__ModularForms_Lean4	Modular forms
CBirkbeck__uniform-sheafy-tate-domains-lean	Uniform sheafy Tate rings that are not stably uniform; Huber/Tate ring examples
CBirkbeck__WeilConverse	Weil converse theorem
celioboulay__expander-graphs	Expander graphs
chantakan__lean4-devcontainer-template	A minimal Lean 4 development environment using VSCode DevContainer.
CharlesHoskinson__proof-zk-recovery	ZK recovery contract: design, audits, and prototyping (private)
